id,created_at,text,screen_name,description,location,followers_count,statuses_count,retweet_count
"793440029423067137","2016-11-01","lom sviral as fue el concierto de jlo marcanthoni gdzofici en apoyo clinton video","DLasAmericas","os informando en espa ol desd el sur de la florida un diario digit con edici n impresa","FL","158606","568137","0"
"793440029041430528","2016-11-01","rt biggest elect fraud in histori discov in the unit state break now via cernovich","thatgirlsandra5","govern polit we super elit","FL","2101","227573","1"
"793440032992403456","2016-11-01","rt johntrumpfankjv with problem america face last thing need constitut crisi vote trump drain sw","watson1_z","cowgirl trump beyond join us kag america beautifulin god i trust retweet special","FL","7474","199172","23"
"793440028001263617","2016-11-01","trump lawyer given court date lawsuit alleg rape","Tami_Skye_Mars","librarian research inform specialist wisdom come knowledg knowledg inform inform fact data","NJ","439","80454","0"
"793440034447843328","2016-11-01","rt realdonaldtrump look way crook hillari handl email case total mess she unfit presid","Dengony","nyc way south beach","NY","488","57066","18317"
"793440030765318144","2016-11-01","rt danscavino peter thiel we re vote for trump because we judg the leadership of our countri to have fail","antoineupnorth","i apolog way went i apolog passion intens princeton","NY","77","3976","1875"
"793440032845500417","2016-11-01","rt ppollingnumb nation la timesusc daili track poll trump clinton","Richieamx","trump","MO","14305","154490","379"
"793440032304533504","2016-11-01","rt call donnabrazil","dpwbeach","love potus flotus maga kag support israel buildthewal support our troop","VA","3178","24147","82"
"793440036712747008","2016-11-01","rt grneyedmandi email chang fact trump racist sexist serial grope incompet unqualifi big leagu moron","angelica974","i m bring nasti back","FL","946","12996","273"
"793440037132054529","2016-11-01","the posit parti reckless broke protocol order put voter year infuri","leilanitexas","classic liber new independ gopexit did nt vote either nut crook choos better next time rs ds","TX","127","32471","0"
"793440036771491840","2016-11-01","mattmackowiak hanniti jump new trump network","boris3324","former detroit husband father grand pa veteran think scientif blockedbytrump","VA","19002","390143","0"
"793440036154781698","2016-11-01","rt aduanebrown the clinton camp lose everi battleground state answer all know blame russia","bbodine18457","i cling gun bibl maga cantquittheblu alwaystrump donotlist i block follow gen flynn qanon dm s","TX","13006","229780","522"
"793440037299826689","2016-11-01","rt christichat in donald trump administr no bullshit bobbi knight maga trump draintheswamp hi","steph93065","trumpforev airforcemom marinemom the valid censorship idea right peopl listen newrightnetwork contributor","CA","322852","265574","353"
"793440036838486017","2016-11-01","rt christichat penc rock star big crowd show penc florida swing maga","bjdjtexbiz","faith famili footbal friend freedom love texan","TX","2880","103779","148"
"793440035454406657","2016-11-01","rt thehil fbi agent push clinton foundat investig justic dept shut","NeedToPray","mom of amaz kid christian maga so thank presid trump militari polic forc support deboost","TX","10140","53447","7126"
"793440042664468480","2016-11-01","donald trump destroy email record document defianc court order","SuePaerels","nmls loan consult loandepot servic wonder folk new jersey almost two decad help peopl financ american dream","NJ","962","2120","0"
"793440040198090752","2016-11-01","rt therickwilson take donald take soul","ShiversShana","don quixot got nuthin","TX","526","27835","74"
"793440044317114369","2016-11-01","rt biggest elect fraud in histori discov in the unit state break now via","thatgirlsandra5","govern polit we super elit","FL","2101","227573","1"
"793440041880158208","2016-11-01","rt schestowitz flint furious donna stab communiti back","DRicebowl","then passiv citizen world now passion citizen worri abysm corrupt govt","IL","558","71882","10"
"793440041913741312","2016-11-01","rt davidcorndc exclus a veteran spi has given fbi inform alleg russian oper cultiv donald trump","ausuar","usa citizen us govern co owner world member perspect leader align ancient faith modern scienc collabor futur","FL","292","37811","3805"
"793440045822861312","2016-11-01","rt thedailyedg what whole campaign attempt distract mike penc","EduardQualls","author nontradit revolutionari vex vike because shitpost i block fascist messag without post argument notic","TX","708","73943","166"
"793440037182513153","2016-11-01","rt jonfav paul ryan vote presidenti candid make racist comment brag commit sexual assault betterway ht","Jnitros","all around cleveland fan democrat atheist resist buckey jrnation","FL","284","93961","1867"
"793439993830133761","2016-11-01","rt ppollingnumb abc wapost poll in tossup state arizona florida north carolina ohio amp utah trump clinton","ver_wey","the nine terrifi word english languag i m govern i m help ronald reagan follow general flynn","CO","7979","80780","945"
"793440052965769220","2016-11-01","rt realdonaldtrump thank grand rapid michigan icymi watch","paulsteven","did you know it s free to a guest dec jan very limit time avail","FL","21","124634","8223"
"793440049413001216","2016-11-01","rt cbsnew report the fbi say direct tie russia donald trump s campaign","kodam1313","leo","CA","343","7452","356"
