row,created_at
0,2016-09-18
100000,2016-09-18
200000,2016-09-18
300000,2016-09-18
400000,2016-09-18
500000,2016-09-18
600000,2016-09-18
700000,2016-09-18
800000,2016-09-19
900000,2016-09-19
1000000,2016-09-19
1100000,2016-09-19
1200000,2016-09-19
1300000,2016-09-19
1400000,2016-09-19
1500000,2016-09-19
1600000,2016-09-19
1700000,2016-09-19
1800000,2016-09-19
1900000,2016-09-19
2000000,2016-09-19
2100000,2016-09-19
2200000,2016-09-19
2300000,2016-09-19
2400000,2016-09-19
2500000,2016-09-19
2600000,2016-09-19
2700000,2016-09-19
2800000,2016-09-19
2900000,2016-09-19
3000000,2016-09-19
3100000,2016-09-19
3200000,2016-09-20
3300000,2016-09-20
3400000,2016-09-20
3500000,2016-09-20
3600000,2016-09-20
3700000,2016-09-20
3800000,2016-09-20
3900000,2016-09-20
4000000,2016-09-20
4100000,2016-09-20
4200000,2016-09-20
4300000,2016-09-20
4400000,2016-09-20
4500000,2016-09-20
4600000,2016-09-20
4700000,2016-09-20
4800000,2016-09-20
4900000,2016-09-20
5000000,2016-09-20
5100000,2016-09-20
5200000,2016-09-20
5300000,2016-09-20
5400000,2016-09-20
5500000,2016-09-20
5600000,2016-09-20
5700000,2016-09-21
5800000,2016-09-21
5900000,2016-09-21
6000000,2016-09-21
6100000,2016-09-21
6200000,2016-09-21
6300000,2016-09-21
6400000,2016-09-21
6500000,2016-09-21
6600000,2016-09-21
6700000,2016-09-21
6800000,2016-09-21
6900000,2016-09-21
7000000,2016-09-21
7100000,2016-09-21
7200000,2016-09-21
7300000,2016-09-21
7400000,2016-09-21
7500000,2016-09-21
7600000,2016-09-21
7700000,2016-09-21
7800000,2016-09-21
7900000,2016-09-21
8000000,2016-09-22
8100000,2016-09-22
8200000,2016-09-22
8300000,2016-09-22
8400000,2016-09-22
8500000,2016-09-22
8600000,2016-09-22
8700000,2016-09-22
8800000,2016-09-22
8900000,2016-09-22
9000000,2016-09-22
9100000,2016-09-22
9200000,2016-09-22
9300000,2016-09-22
9400000,2016-09-22
9500000,2016-09-22
9600000,2016-09-22
9700000,2016-09-22
9800000,2016-09-22
9900000,2016-09-22
10000000,2016-09-22
10100000,2016-09-23
10200000,2016-09-23
10300000,2016-09-23
10400000,2016-09-23
10500000,2016-09-23
10600000,2016-09-23
10700000,2016-09-23
10800000,2016-09-23
10900000,2016-09-23
11000000,2016-09-23
11100000,2016-09-23
11200000,2016-09-23
11300000,2016-09-23
11400000,2016-09-23
11500000,2016-09-23
11600000,2016-09-23
11700000,2016-09-23
11800000,2016-09-23
11900000,2016-09-23
12000000,2016-09-23
12100000,2016-09-23
12200000,2016-09-23
12300000,2016-09-24
12400000,2016-09-24
12500000,2016-09-24
12600000,2016-09-24
12700000,2016-09-24
12800000,2016-09-24
12900000,2016-09-24
13000000,2016-09-24
13100000,2016-09-24
13200000,2016-09-24
13300000,2016-09-24
13400000,2016-09-24
13500000,2016-09-24
13600000,2016-09-24
13700000,2016-09-24
13800000,2016-09-24
13900000,2016-09-24
14000000,2016-09-24
14100000,2016-09-24
14200000,2016-09-24
14300000,2016-09-24
14400000,2016-09-24
14500000,2016-09-25
14600000,2016-09-25
14700000,2016-09-25
14800000,2016-09-25
14900000,2016-09-25
15000000,2016-09-25
15100000,2016-09-25
15200000,2016-07-13
15300000,2016-07-14
15400000,2016-07-14
15500000,2016-07-15
15600000,2016-07-15
15700000,2016-07-16
15800000,2016-07-17
15900000,2016-07-17
16000000,2016-07-18
16100000,2016-07-19
16200000,2016-07-19
16300000,2016-07-20
16400000,2016-07-20
16500000,2016-07-20
16600000,2016-07-21
16700000,2016-07-21
16800000,2016-07-21
16900000,2016-07-21
17000000,2016-07-22
17100000,2016-07-22
17200000,2016-07-22
17300000,2016-07-23
17400000,2016-07-23
17500000,2016-10-21
17600000,2016-10-21
17700000,2016-10-21
17800000,2016-10-21
17900000,2016-10-21
18000000,2016-10-22
18100000,2016-10-22
18200000,2016-10-22
18300000,2016-10-22
18400000,2016-10-22
18500000,2016-10-22
18600000,2016-10-22
18700000,2016-10-22
18800000,2016-10-22
18900000,2016-10-22
19000000,2016-10-22
19100000,2016-10-22
19200000,2016-10-22
19300000,2016-10-22
19400000,2016-10-22
19500000,2016-10-22
19600000,2016-10-22
19700000,2016-10-22
19800000,2016-10-22
19900000,2016-10-22
20000000,2016-10-22
20100000,2016-10-22
20200000,2016-10-22
20300000,2016-10-22
20400000,2016-10-22
20500000,2016-10-22
20600000,2016-10-22
20700000,2016-10-22
20800000,2016-10-22
20900000,2016-10-22
21000000,2016-10-23
21100000,2016-10-23
21200000,2016-10-23
21300000,2016-10-23
21400000,2016-10-23
21500000,2016-10-23
21600000,2016-10-23
21700000,2016-10-23
21800000,2016-10-23
21900000,2016-10-23
22000000,2016-10-23
22100000,2016-10-23
22200000,2016-10-23
22300000,2016-10-23
22400000,2016-10-23
22500000,2016-10-23
22600000,2016-10-23
22700000,2016-10-23
22800000,2016-10-23
22900000,2016-10-23
23000000,2016-10-23
23100000,2016-10-23
23200000,2016-10-23
23300000,2016-10-23
23400000,2016-10-23
23500000,2016-10-23
23600000,2016-10-23
23700000,2016-10-23
23800000,2016-10-23
23900000,2016-10-23
24000000,2016-10-24
24100000,2016-10-24
24200000,2016-10-24
24300000,2016-10-24
24400000,2016-10-24
24500000,2016-10-24
24600000,2016-10-24
24700000,2016-10-24
24800000,2016-10-24
24900000,2016-10-24
25000000,2016-10-24
25100000,2016-10-24
25200000,2016-10-24
25300000,2016-10-24
25400000,2016-10-24
25500000,2016-10-24
25600000,2016-10-24
25700000,2016-10-24
25800000,2016-10-24
25900000,2016-10-24
26000000,2016-10-24
26100000,2016-10-24
26200000,2016-10-24
26300000,2016-10-24
26400000,2016-10-24
26500000,2016-10-24
26600000,2016-10-24
26700000,2016-10-24
26800000,2016-10-24
26900000,2016-10-24
27000000,2016-10-24
27100000,2016-10-25
27200000,2016-10-25
27300000,2016-10-25
27400000,2016-10-25
27500000,2016-10-25
27600000,2016-10-25
27700000,2016-10-25
27800000,2016-10-25
27900000,2016-10-25
28000000,2016-10-25
28100000,2016-10-25
28200000,2016-10-25
28300000,2016-10-25
28400000,2016-10-25
28500000,2016-10-25
28600000,2016-10-25
28700000,2016-10-25
28800000,2016-10-25
28900000,2016-10-25
29000000,2016-10-25
29100000,2016-10-25
29200000,2016-10-25
29300000,2016-10-25
29400000,2016-10-25
29500000,2016-10-25
29600000,2016-10-25
29700000,2016-10-25
29800000,2016-10-25
29900000,2016-10-25
30000000,2016-10-25
30100000,2016-10-25
30200000,2016-10-25
30300000,2016-10-25
30400000,2016-10-26
30500000,2016-10-26
30600000,2016-10-26
30700000,2016-10-26
30800000,2016-10-26
30900000,2016-10-26
31000000,2016-10-26
31100000,2016-10-26
31200000,2016-10-26
31300000,2016-10-26
31400000,2016-10-26
31500000,2016-10-26
31600000,2016-10-26
31700000,2016-10-26
31800000,2016-10-26
31900000,2016-10-26
32000000,2016-10-26
32100000,2016-10-26
32200000,2016-10-26
32300000,2016-10-26
32400000,2016-10-26
32500000,2016-10-26
32600000,2016-10-26
32700000,2016-10-26
32800000,2016-10-26
32900000,2016-10-26
33000000,2016-10-26
33100000,2016-10-26
33200000,2016-10-26
33300000,2016-10-26
33400000,2016-10-26
33500000,2016-10-26
33600000,2016-10-26
33700000,2016-10-26
33800000,2016-10-26
33900000,2016-10-27
34000000,2016-10-27
34100000,2016-10-27
34200000,2016-10-27
34300000,2016-10-27
34400000,2016-10-27
34500000,2016-10-27
34600000,2016-10-27
34700000,2016-10-27
34800000,2016-10-27
34900000,2016-10-27
35000000,2016-10-27
35100000,2016-10-27
35200000,2016-10-27
35300000,2016-10-27
35400000,2016-10-27
35500000,2016-10-27
35600000,2016-10-27
35700000,2016-10-27
35800000,2016-10-27
35900000,2016-10-27
36000000,2016-10-27
36100000,2016-10-27
36200000,2016-10-27
36300000,2016-10-27
36400000,2016-10-27
36500000,2016-10-27
36600000,2016-10-27
36700000,2016-10-27
36800000,2016-10-27
36900000,2016-10-27
37000000,2016-10-27
37100000,2016-10-27
37200000,2016-10-27
37300000,2016-10-28
37400000,2016-10-28
37500000,2016-10-28
37600000,2016-10-28
37700000,2016-10-28
37800000,2016-10-28
37900000,2016-10-28
38000000,2016-10-28
38100000,2016-10-28
38200000,2016-10-28
38300000,2016-10-28
38400000,2016-10-28
38500000,2016-10-28
38600000,2016-10-28
38700000,2016-10-28
38800000,2016-10-28
38900000,2016-10-28
39000000,2016-10-28
39100000,2016-10-28
39200000,2016-10-28
39300000,2016-10-28
39400000,2016-10-28
39500000,2016-10-28
39600000,2016-10-28
39700000,2016-10-28
39800000,2016-10-28
39900000,2016-10-28
40000000,2016-10-28
40100000,2016-10-28
40200000,2016-10-28
40300000,2016-10-28
40400000,2016-10-28
40500000,2016-10-28
40600000,2016-10-28
40700000,2016-10-29
40800000,2016-10-29
40900000,2016-10-29
41000000,2016-10-29
41100000,2016-10-29
41200000,2016-10-29
41300000,2016-10-29
41400000,2016-10-29
41500000,2016-10-29
41600000,2016-10-29
41700000,2016-10-29
41800000,2016-10-29
41900000,2016-10-29
42000000,2016-10-29
42100000,2016-10-29
42200000,2016-10-29
42300000,2016-10-29
42400000,2016-10-29
42500000,2016-10-29
42600000,2016-10-29
42700000,2016-10-29
42800000,2016-10-29
42900000,2016-10-29
43000000,2016-10-29
43100000,2016-10-29
43200000,2016-10-29
43300000,2016-10-29
43400000,2016-10-29
43500000,2016-10-29
43600000,2016-10-29
43700000,2016-10-29
43800000,2016-10-29
43900000,2016-10-29
44000000,2016-10-29
44100000,2016-10-29
44200000,2016-10-30
44300000,2016-10-30
44400000,2016-10-30
44500000,2016-10-30
44600000,2016-10-30
44700000,2016-10-30
44800000,2016-10-30
44900000,2016-10-30
45000000,2016-10-30
45100000,2016-10-30
45200000,2016-10-30
45300000,2016-10-30
45400000,2016-10-30
45500000,2016-10-30
45600000,2016-10-30
45700000,2016-10-30
45800000,2016-10-30
45900000,2016-10-30
46000000,2016-10-30
46100000,2016-10-30
46200000,2016-10-30
46300000,2016-10-30
46400000,2016-10-30
46500000,2016-10-30
46600000,2016-10-30
46700000,2016-10-30
46800000,2016-10-30
46900000,2016-10-30
47000000,2016-10-30
47100000,2016-10-30
47200000,2016-10-30
47300000,2016-10-30
47400000,2016-10-30
47500000,2016-10-31
47600000,2016-10-31
47700000,2016-10-31
47800000,2016-10-31
47900000,2016-10-31
48000000,2016-10-31
48100000,2016-10-31
48200000,2016-10-31
48300000,2016-10-31
48400000,2016-10-31
48500000,2016-10-31
48600000,2016-10-31
48700000,2016-10-31
48800000,2016-10-31
48900000,2016-10-31
49000000,2016-10-31
49100000,2016-10-31
49200000,2016-10-31
49300000,2016-10-31
49400000,2016-10-31
49500000,2016-10-31
49600000,2016-10-31
49700000,2016-10-31
49800000,2016-10-31
49900000,2016-10-31
